Ключевые навыки;Кол-во
Python;264
SQL;250
Java;195
Английский язык;184
Linux;141
Git;83
JavaScript;73
MS SQL;69
C++;66
PostgreSQL;61
Atlassian Jira;48
Project management;47
AWS;44
Data Analysis;43
Agile Project Management;42
Data Mining;42
Hadoop;42
React;40
SCALA;40
QA;39
Big Data;36
Docker;36
Spring Framework;35
Oracle Pl/SQL;34
Bash;32
Machine Learning;31
Spark;31
Scrum;30
C#;29
CSS;29
Node.js;29
AngularJS;28
MS PowerPoint;28
Информационные технологии;28
Unix;27
Presentation skills;26
HTML;25
Kubernetes;25
Product Management;25
Android;24
MongoDB;24
MySQL;24
REST;23
.NET Framework;21
DevOps;21
Leadership Skills;21
Управление проектами;21
Hibernate ORM;20
Business Development;19
Data Science;18
Team management;18
ООП;18
Тестирование;18
Analytical skills;17
ETL;16
Jenkins;16
Базы данных;16
Работа в команде;16
MATLAB;15
CI/CD;14
Hive;14
Kafka;14
MS Outlook;14
Negotiation skills;14
Математическая статистика;14
Ansible;13
AutoCAD;13
Azure;13
PyTorch;13
Ruby;13
Software Development;13
Concurrent Programming;12
NoSQL;12
Time management;12
TypeScript;12
Функциональное тестирование;12
ADH;11
Delta Lakе;11
MS Excel;11
Networking;11
Parquet;11
PHP;11
Pyspark;11
Spark-submit;11
TCP/IP;11
Teradata;11
Vue;11
Анализ данных;11
Бизнес-анализ;11
Пользователь ПК;11
Cisco;10
Informatica;10
Information Security;10
Marketing Analysis;10
MS Visio;10
Multithread Programming;10
NLP;10
Sales Skills;10
Teamplayer;10
Zabbix;10
Обучение и развитие;10
Разработка технических заданий;10
Apache Tomcat;9
Cистемы управления базами данных;9
Go;9
iOS;9
jQuery;9
JVM;9
Sales Management;9
Teamleading;9
Аналитическое мышление;9
Clickhouse;8
Django Framework;8
jmeter;8
LoadRunner;8
loadtesting;8
Pandas;8
Redis;8
Swift;8
Нагрузочное тестирование;8
Account Management;7
Airflow;7
Architecture;7
AWS cloud platform;7
Business Analysis;7
D3.js;7
Deep Learning;7
Kotlin;7
Olap (online analytical processing);7
Oozie;7
PowerShell;7
R;7
Solution Architect;7
SOWs;7
Системная интеграция;7
Статистический анализ;7
СУБД;7
Схемотехника электронного оборудования;7
AllFusion ERwin Data Modeler;6
Apache Maven;6
API;6
ASP.NET;6
Atlassian Confluence;6
B2B Продажи;6
CRM;6
Design Patterns;6
ElasticSearch;6
GCP;6
Google Analytics;6
JUnit;6
MS Project;6
SAP;6
SAP ERP;6
Selenium IDE;6
SSIS;6
Tensorflow;6
UML;6
XML;6
YARN;6
Ведение переговоров;6
Организаторские навыки;6
Adobe Photoshop;5
Car development and industrialization process knowledge •  Automotiv generic knowledge;5
Customer Relationship Management;5
Customer Service;5
Data Lake;5
Databricks;5
Datafactory;5
DWH;5
GitLab;5
K8s;5
MS Access;5
MS Project Expert;5
Objective-C;5
SAP Project;5
Selenium;5
Sqoop;5
TDCH;5
Test case;5
Windows 7;5
Администрирование серверов Linux;5
Мобильность;5
Проектная документация;5
Работа с базами данных;5
Регресионное тестирование;5
Системный анализ;5
Automation Testing;4
Cassandra;4
Cloud;4
Computer Vision;4
Data Engineering;4
Databases;4
Distributed Systems;4
Entity Framework;4
HDFS;4
Hdfs;4
HTTP;4
Intellij IDEA;4
Keras;4
MS Office;4
NumPy;4
Organization Skills;4
SaaS;4
SVN;4
Team leadership;4
UI;4
VMware;4
Warehouse Management;4
Активные продажи;4
Аналитические исследования;4
Ведение переписки;4
Деловая коммуникация;4
Деловая переписка;4
Наставничество;4
Проектирование;4
Управление продуктом;4
Холодные продажи;4
3D Моделирование;3
AI;3
Apache Spark;3
Apple Search Ads;3
Artificial Intelligence;3
Autodesk Revit;3
browser security;3
Business Intelligence Systems;3
Computer Science;3
Customer Support;3
Data Structures;3
Digital Marketing;3
ELT;3
ES6;3
Fanuc;3
Figma;3
ITIL;3
JBoss;3
JEE;3
Kaggle;3
Mac Os;3
malware reverse engineering;3
Mathcad;3
ML;3
MS Azure;3
MS Visual Studio;3
Nexus;3
OpenCV;3
Oracle Siebel CRM;3
Pascal;3
People Management;3
PySpark;3
Qt;3
Quality Control;3
RabbitMQ;3
RedHat;3
Redux;3
RESTful API;3
Roboguide;3
SAP BW;3
SEO;3
Social Media Marketing;3
Tableau;3
Unit Testing;3
Unreal Engine;3
UX;3
VPN;3
web application security;3
wildfly;3
Администрирование серверов Windows;3
АСУ;3
Деловое общение;3
Информационная безопасность;3
Маркетинговый анализ;3
Математический анализ;3
Мотивация персонала;3
Навыки межличностного общения;3
Ориентация на результат;3
Проведение презентаций;3
Работа на выставках;3
Тестирование пользовательского интерфейса;3
Умение работать в команде;3
Управление рисками;3
Active Directory;2
Adobe Acrobat;2
Adobe Illustrator;2
Advertising;2
AirFlow;2
airflow;2
Algorithms & Data Structures;2
Apache Kafka;2
app store optimization;2
Architect;2
ASO;2
aws;2
Budgeting;2
Canvas;2
CCTV;2
CentOS;2
Clojure;2
CMMS;2
CNN;2
Communication skills;2
Compilers;2
Configuration Management;2
Data visualization;2
Digital Signal Processing;2
E-Commerce;2
E-Mail Marketing;2
EPC;2
Exploration And Production;2
Financial Analysis;2
Flask;2
Game Interfaces;2
Generative Adversarial Network;2
GIS;2
Google Cloud;2
Google Tag Manager;2
Gradle;2
grafana;2
Health & Safety;2
Helpdesk;2
IIS;2
Images Processing;2
Internet;2
IT Specialist;2
IT tools;2
Jira;2
JMeter;2
JSON API;2
JSP;2
LAN;2
LAN / WAN;2
Launching new products;2
Logistics Management;2
Lua;2
Market Research;2
Marketing Communication;2
Math;2
Mathematical Statistics;2
Mathematics;2
Maven;2
ML and DL Algorithms : GANS, C-NN, Neural Networks, Random Forests, SVM;2
Mobile Marketing;2
MS Internet Explorer;2
Neural Network;2
Nginx;2
Nifi;2
npm;2
Oil And Gas;2
OpenStack;2
Perl;2
Power BI;2
Product Marketing;2
Product Strategy;2
Representation Learning;2
Risk management;2
Rust;2
SAP BI;2
Sas;2
SCADA;2
SDLC;2
Search Engine Marketing;2
Semi-supervised machine learning;2
Smart Solutions;2
SOAP;2
Software;2
Specifications;2
SQLite;2
STL;2
Storage;2
Strategic Planning;2
Supervised and Unsupervised Learning;2
Supply Chain Management;2
System Analysis;2
Teambuilding;2
Tekla BIM;2
Terraform;2
Test Driven Development;2
Testing Framework;2
TestNG;2
Ubuntu;2
Unity;2
User Acceptance Testing;2
ux/ui;2
Variational Autoencoders;2
Virtualization;2
Visual Studio C#;2
WebDriver;2
Windows Xp;2
x86;2
Администрирование;2
Внутренние коммуникации;2
Горное планирование в ГГИС;2
Грамотная речь;2
Закупка товаров и услуг;2
Инвестиционное планирование;2
Коммуникабельность;2
Контроль качества;2
Маркетинговые коммуникации;2
Математическое моделирование;2
Математическое программирование;2
Навыки переговоров;2
Настройка ПК;2
Настройка сетевых подключений;2
Нефтегаз;2
Оперативное планирование;2
Оптимизация бизнес-процессов;2
Планирование;2
Поиск и привлечение клиентов;2
Проведение тестирований;2
Проектирование зданий и сооружений;2
Развитие продаж;2
Разработка ПО;2
Разработка проектной документации;2
Регрессионный анализ;2
Сборка ПК;2
сварка РТК;2
Системное мышление;2
Стрессоустойчивость;2
Тайм-менеджмент;2
Техническая поддержка;2
Управление интернет-проектами;2
Управление отношениями с клиентами;2
Управление персоналом;2
Управленческая отчетность;2
1C: Бухгалтерия;1
A/B тесты;1
Access;1
Accounting;1
Accounting Automation;1
Administrating Skills;1
Adobe After Effect;1
Adobe After Effects;1
Agile;1
Airfl;1
Algorithm optimization;1
Algorithms;1
Allure;1
Analytics;1
Apache Cassandra;1
Apache Hadoop;1
Apache NiFi;1
API Gateway;1
API Management;1
API Testing;1
APM Civil Engineering;1
APQP;1
ARIS;1
ARM;1
Artifactory;1
Assembly;1
Asset Management;1
Atlassian;1
Audit;1
Autodesk 3ds Max;1
Autodesk Maya;1
Automation;1
AutoML;1
Automotive;1
AVEVA;1
AWK;1
AWT;1
Azure Cloud;1
Azure DevOps;1
B2B Marketing;1
BA;1
Babel;1
Backbone;1
Bank Software;1
BigQuery;1
BIM;1
Biopython;1
BizDev;1
Blockchain;1
Blue Prism;1
Blueprints;1
BPWin;1
Brand Management;1
BtoB;1
Business communication;1
Business Planning;1
C;1
CAD;1
Calypso;1
camunda;1
Capex;1
CAPM;1
card system;1
Category Management;1
CCIE;1
CCNP;1
Ceph;1
CISA, CISM, CISSP;1
Civil 3D;1
Cloud Compute Services;1
Cloud Storage;1
Cloudera;1
CMake;1
Cmake;1
CMS Wordpress;1
Cognito;1
Cognos;1
Cognos BI;1
Coil Tubing;1
Computer troubleshooting;1
Conversational systems;1
CorelDRAW;1
CTU;1
Customer Needs Analysis;1
CV;1
Cyber Security;1
Cypress;1
Data architecture;1
data base;1
Data Centre;1
Data Mining: SPSS;1
DB;1
Debian;1
Defense;1
Desktop;1
device pick;1
Digital Transmission Networks;1
DPDK;1
DRBD;1
Driving Licence B;1
Drupal;1
Due Diligence;1
